Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank
Torbjorn,O,1.43,55.13,2.63,9.57,P5,Gold
Winston,T,1.4,45.28,1.69,4.43,P5,Gold
Tracer,O,1.25,44.11,1.85,7.93,P5,Gold
Bastion,O,1.18,48.33,3.16,14.93,P5,Gold
Doomfist,O,0.66,45.74,1.91,6.51,P5,Gold
Reinhardt,T,10.78,51.29,2.45,8.07,P5,Platinum
Moira,S,7.93,52.04,2.58,9.97,P5,Platinum
Lucio,S,7.47,52.63,2.23,12.54,P5,Platinum
Mercy,S,7.15,50.49,2.5,1.71,P5,Platinum
Zarya,T,6.01,49.69,2.5,10.98,P5,Platinum
D.Va,T,5.73,52.56,2.26,8.77,P5,Platinum
Ana,S,5.56,47.33,2.39,9.3,P5,Platinum
Zenyatta,S,3.83,52.72,2.22,8.47,P5,Platinum
Reaper,O,3.76,50.73,2.09,18.02,P5,Platinum
McCree,O,3.58,46.82,1.58,11.29,P5,Platinum
Genji,O,3.53,47.87,1.76,10.26,P5,Platinum
Hanzo,O,3.26,47.67,2.17,14.06,P5,Platinum
Roadhog,T,3.22,50.23,1.65,10.74,P5,Platinum
Orisa,T,2.77,54.78,2.09,9.24,P5,Platinum
Junkrat,O,2.76,53.06,2.95,12.13,P5,Platinum
Widowmaker,O,2.64,47.51,1.44,9.29,P5,Platinum
"Wrecking Ball",T,2.37,51.03,1.75,3.07,P5,Platinum
Brigitte,S,2.07,55.75,1.67,13.24,P5,Platinum
Ashe,O,2.04,50.09,1.94,8.86,P5,Platinum
Pharah,O,2.02,49.43,1.87,14.74,P5,Platinum
"Soldier: 76",O,1.82,49.81,1.93,11.47,P5,Platinum
Sombra,O,1.7,47.52,2.07,15.97,P5,Platinum
Tracer,O,1.65,46.01,1.48,8.95,P5,Platinum
Winston,T,1.34,46.98,1.86,5.31,P5,Platinum
Symmetra,S,1.27,57.58,2.96,10.36,P5,Platinum
Mei,O,1.12,51.45,2.32,10.04,P5,Platinum
Torbjorn,O,1.07,55.47,3.06,9.74,P5,Platinum
Doomfist,O,0.82,50.39,1.59,7.62,P5,Platinum
Bastion,O,0.71,49.22,2.75,16.37,P5,Platinum
Reinhardt,T,10.46,53.3,2.21,7.86,P5,Diamond
Lucio,S,7.72,53.7,1.99,12.59,P5,Diamond
Mercy,S,7.51,52.86,2.11,2.03,P5,Diamond
Zarya,T,6.61,52.39,2.15,12.44,P5,Diamond
Moira,S,5.98,53.18,1.99,10.05,P5,Diamond
Ana,S,5.4,50.58,1.91,10.03,P5,Diamond
D.Va,T,4.42,53.32,1.86,8.28,P5,Diamond
McCree,O,4.16,50.16,1.6,12.29,P5,Diamond
Roadhog,T,4.11,51.37,1.41,11.81,P5,Diamond
Zenyatta,S,3.92,54.4,1.98,7.73,P5,Diamond
Genji,O,3.85,49.92,1.19,11.07,P5,Diamond
Hanzo,O,3.77,50.44,1.97,15.13,P5,Diamond
Widowmaker,O,3.25,50.88,1.48,10.44,P5,Diamond
Orisa,T,3.19,57.2,1.83,9.2,P5,Diamond
Reaper,O,2.75,54.08,1.52,17.41,P5,Diamond
"Wrecking Ball",T,2.74,53.25,1.48,3.6,P5,Diamond
Pharah,O,2.48,52.34,2.2,15.75,P5,Diamond
Ashe,O,2.29,52.33,1.72,11.25,P5,Diamond
Sombra,O,2.17,51.25,1.84,17.84,P5,Diamond
Tracer,O,1.99,49.14,1.34,9.51,P5,Diamond
Brigitte,S,1.93,57.4,1.74,13.4,P5,Diamond
"Soldier: 76",O,1.74,56.08,1.73,12.21,P5,Diamond
Junkrat,O,1.49,56.4,2.29,10.96,P5,Diamond
Winston,T,1.3,47.32,1.29,5.43,P5,Diamond
Symmetra,S,1.21,58.8,2.73,9.98,P5,Diamond
Torbjorn,O,1.18,54.58,1.23,9.23,P5,Diamond
Mei,O,0.88,54.12,1.71,9.69,P5,Diamond
Doomfist,O,0.81,50.47,1.36,7.45,P5,Diamond
Bastion,O,0.71,55.6,2.05,16.56,P5,Diamond
Mercy,S,9.75,52.49,1.91,2.16,P5,Master
Reinhardt,T,9.72,52.24,2.14,7.11,P5,Master
Lucio,S,9.56,53.69,1.91,12.53,P5,Master
Zarya,T,6.35,53.29,1.67,12.82,P5,Master
Hanzo,O,5.07,50.05,1.11,15.04,P5,Master
Roadhog,T,5,51.49,1.41,11.44,P5,Master
Orisa,T,4.95,56.83,1.33,8.95,P5,Master
Ana,S,4.17,50.17,1.5,10.25,P5,Master
McCree,O,4.07,50.1,1.04,12.25,P5,Master
Moira,S,3.76,51.39,1.7,9.63,P5,Master
D.Va,T,3.46,51.97,1.63,7.74,P5,Master
Widowmaker,O,3.37,49.41,1.62,10.91,P5,Master
Pharah,O,3.35,50.81,1.91,14.61,P5,Master
Zenyatta,S,3.23,55.09,1.55,6.79,P5,Master
Genji,O,3.06,50.21,1.79,10.92,P5,Master
Ashe,O,2.62,53.39,1.49,12.24,P5,Master
Sombra,O,2.46,49.64,2.03,17.36,P5,Master
"Wrecking Ball",T,2.29,54.75,1.09,3.7,P5,Master
Tracer,O,2.15,48.68,1.09,10.34,P5,Master
"Soldier: 76",O,1.67,53.73,1.21,11.56,P5,Master
Reaper,O,1.64,48.94,1.05,16.51,P5,Master
Torbjorn,O,1.44,53.61,2.07,9.15,P5,Master
Brigitte,S,1.33,54.76,1.52,12.93,P5,Master
Winston,T,1.22,46.45,0.9,5.22,P5,Master
Symmetra,S,1.21,54.11,2.84,9.34,P5,Master
Mei,O,0.82,50.87,1.15,8.37,P5,Master
Junkrat,O,0.77,52.8,2.23,9.76,P5,Master
Bastion,O,0.76,53.03,1.44,15.99,P5,Master
Doomfist,O,0.75,50.95,1.25,6.53,P5,Master
Mercy,S,11.49,59.76,1.75,2.78,P5,Grandmaster
Lucio,S,8.52,57.14,1.95,13.74,P5,Grandmaster
Reinhardt,T,7.15,56.54,2.49,8.12,P5,Grandmaster
Roadhog,T,6.6,56.18,1.65,13.96,P5,Grandmaster
Pharah,O,6.13,57.93,2.06,14.66,P5,Grandmaster
Orisa,T,5.35,61.76,2.36,10.3,P5,Grandmaster
Hanzo,O,5.27,50.06,2.39,16.94,P5,Grandmaster
Zarya,T,4.7,59.15,2.07,17.2,P5,Grandmaster
Widowmaker,O,4.58,54.86,2.13,13.14,P5,Grandmaster
McCree,O,4.27,52.6,1.61,15.16,P5,Grandmaster
