Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
Moira,SUPPORT,1.01,55.35,1.51,13.09,PC,Grandmaster,42:19.9
Mei,DEFENSE,0.81,57.51,1.87,7.2,PC,Grandmaster,42:19.9
Symmetra,SUPPORT,0.67,55.06,3.75,5.13,PC,Grandmaster,42:19.9
Junkrat,DEFENSE,0.49,62.81,1.72,8.24,PC,Grandmaster,42:19.9
Pharah,OFFENSE,0.4,52.54,0,12.49,PC,Grandmaster,42:19.9
Reaper,OFFENSE,0.38,59.17,2.24,12.3,PC,Grandmaster,42:19.9
Bastion,DEFENSE,0.18,54.29,0.94,16.39,PC,Grandmaster,42:19.9
Reinhardt,TANK,10.3,50.9,2.47,7.69,PSN,All,30:02.1
Moira,SUPPORT,7.76,50.85,2.48,9.56,PSN,All,30:02.1
Lucio,SUPPORT,7.75,52.27,2.14,12.14,PSN,All,30:02.1
Mercy,SUPPORT,7.61,50.37,2.4,1.73,PSN,All,30:02.1
D.Va,TANK,5.92,51.63,2.2,8.34,PSN,All,30:02.1
Zarya,TANK,5.64,50.06,2.38,10.85,PSN,All,30:02.1
Ana,SUPPORT,4.89,47.35,2.26,9.2,PSN,All,30:02.1
Zenyatta,SUPPORT,3.8,52.41,2.15,8.19,PSN,All,30:02.1
Reaper,OFFENSE,3.49,50.12,1.97,17.35,PSN,All,30:02.1
Orisa,TANK,3.44,54.5,2.14,8.97,PSN,All,30:02.1
Roadhog,TANK,3.27,49.89,1.56,10.64,PSN,All,30:02.1
McCree,OFFENSE,3.27,47.82,1.53,11.45,PSN,All,30:02.1
Hanzo,DEFENSE,3.23,48.16,2.04,14.02,PSN,All,30:02.1
Genji,OFFENSE,3.09,48.11,1.64,10.11,PSN,All,30:02.1
Junkrat,DEFENSE,2.77,51.13,2.67,11.67,PSN,All,30:02.1
Widowmaker,DEFENSE,2.58,47.77,1.55,9.44,PSN,All,30:02.1
Wrecking Ball,TANK,2.33,50.9,1.72,3.14,PSN,All,30:02.1
Brigitte,SUPPORT,2.15,55.09,1.86,12.86,PSN,All,30:02.1
Pharah,OFFENSE,2.14,49.79,1.92,13.9,PSN,All,30:02.1
Ashe,OFFENSE,2.11,50.11,1.86,9.53,PSN,All,30:02.1
Sombra,OFFENSE,1.9,46.98,2.14,15.67,PSN,All,30:02.1
Soldier: 76,OFFENSE,1.87,50.7,1.77,11.43,PSN,All,30:02.1
Tracer,OFFENSE,1.66,46.78,1.44,9.1,PSN,All,30:02.1
Symmetra,SUPPORT,1.57,57.06,3.01,10.07,PSN,All,30:02.1
Winston,TANK,1.33,46.53,1.78,5.01,PSN,All,30:02.1
Torbjorn,DEFENSE,1.26,54.51,2.5,9.49,PSN,All,30:02.1
Mei,DEFENSE,1.19,50.37,2.1,9.9,PSN,All,30:02.1
Bastion,DEFENSE,0.94,49.99,2.7,15.68,PSN,All,30:02.1
Doomfist,OFFENSE,0.76,48.93,1.59,7.27,PSN,All,30:02.1
Moira,SUPPORT,10.02,45.48,3.25,6.95,PSN,Bronze,30:02.1
Mercy,SUPPORT,8.77,45.99,2.44,0.83,PSN,Bronze,30:02.1
D.Va,TANK,8.34,50.42,2.7,6.24,PSN,Bronze,30:02.1
Reinhardt,TANK,8.32,43.37,2.16,5.13,PSN,Bronze,30:02.1
Lucio,SUPPORT,6.39,45.1,1.23,6.89,PSN,Bronze,30:02.1
Orisa,TANK,5,46.56,2.02,6.03,PSN,Bronze,30:02.1
Reaper,OFFENSE,4.31,45.58,2.61,14.67,PSN,Bronze,30:02.1
Junkrat,DEFENSE,3.74,42.77,2.4,10.59,PSN,Bronze,30:02.1
Symmetra,SUPPORT,3.71,49.38,2.42,8.01,PSN,Bronze,30:02.1
Zarya,TANK,3.59,39.12,0.63,5.46,PSN,Bronze,30:02.1
Zenyatta,SUPPORT,3.23,47.89,1.05,6.72,PSN,Bronze,30:02.1
Ana,SUPPORT,3.08,35.96,2.55,5.01,PSN,Bronze,30:02.1
Sombra,OFFENSE,2.84,27.6,1.19,6.68,PSN,Bronze,30:02.1
Widowmaker,DEFENSE,2.54,41.26,1.33,6.86,PSN,Bronze,30:02.1
Brigitte,SUPPORT,2.41,51.46,3.74,8.98,PSN,Bronze,30:02.1
Mei,DEFENSE,2.33,36.14,2.42,5.81,PSN,Bronze,30:02.1
Genji,OFFENSE,2.3,38,2.44,13.4,PSN,Bronze,30:02.1
Roadhog,TANK,2.27,37.76,2.97,7.17,PSN,Bronze,30:02.1
Bastion,DEFENSE,2.19,38.62,3.08,12.35,PSN,Bronze,30:02.1
Torbjorn,DEFENSE,2.06,48.31,2.73,8.64,PSN,Bronze,30:02.1
Soldier: 76,OFFENSE,1.95,43.79,2.31,10.42,PSN,Bronze,30:02.1
Pharah,OFFENSE,1.72,47.68,1.31,13.35,PSN,Bronze,30:02.1
Hanzo,DEFENSE,1.7,42.76,3.97,10.11,PSN,Bronze,30:02.1
Winston,TANK,1.28,34.86,4.39,3.04,PSN,Bronze,30:02.1
Tracer,OFFENSE,1.28,39.29,1.75,9.65,PSN,Bronze,30:02.1
Ashe,OFFENSE,1.25,45.05,0,7.83,PSN,Bronze,30:02.1
McCree,OFFENSE,1.24,45.45,0,20,PSN,Bronze,30:02.1
Wrecking Ball,TANK,1.23,25.93,0.92,1.72,PSN,Bronze,30:02.1
Doomfist,OFFENSE,0.92,25.93,1.22,7.87,PSN,Bronze,30:02.1
Moira,SUPPORT,10.02,45.48,3.25,6.95,PSN,Silver,30:02.1
D.Va,TANK,8.74,48.22,2.47,7.62,PSN,Silver,30:02.1
Reinhardt,TANK,8.61,46.91,2.11,6.49,PSN,Silver,30:02.1
Mercy,SUPPORT,7.98,45.99,2.27,1.25,PSN,Silver,30:02.1
Lucio,SUPPORT,7.56,48.76,2.08,10.29,PSN,Silver,30:02.1
Orisa,TANK,4.53,50.02,2.44,7.64,PSN,Silver,30:02.1
